"Year","Env","Experiment_Code","Treatment","City","Farm","Field","Trial_ID (Assigned by collaborator for internal reference)","Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)","Weather_Station_Latitude (in decimal numbers NOT DMS)","Weather_Station_Longitude (in decimal numbers NOT DMS)","Date_weather_station_placed","Date_weather_station_removed","Previous_Crop","Pre-plant_tillage_method(s)","In-season_tillage_method(s)","Type_of_planter (fluted cone; belt cone; air planter)","System_Determining_Moisture","Pounds_Needed_Soil_Moisture","Latitude_of_Field_Corner_#1 (lower left)","Longitude_of_Field_Corner_#1 (lower left)","Latitude_of_Field_Corner_#2 (lower right)","Longitude_of_Field_Corner_#2 (lower right)","Latitude_of_Field_Corner_#3 (upper right)","Longitude_of_Field_Corner_#3 (upper right)","Latitude_of_Field_Corner_#4 (upper left)","Longitude_of_Field_Corner_#4 (upper left)","Cardinal_Heading_Pass_1","Issue/comment_#1","Issue/comment_#2","Issue/comment_#3","Issue/comment_#4","Issue/comment_#5","Issue/comment_#6","Comments"
"2017","TXH1-Early_2017","TXH1","Standard","College Station","University Field Lab","210","CS17-G2FE",,,30.54535,-96.432581,"3/8/17","8/10/17",,,,,,,,,,,,,,,,,,,,,,"Information for TXH1-Dry_2017, TXH1-Early_2017, and TXH1-Late_2017"
"2017","TXH1-Late_2017","TXH1","Standard","College Station","University Field Lab","210","CS17-G2FE",,,30.54535,-96.432581,"3/8/17","8/10/17",,,,,,,,,,,,,,,,,,,,,,"Information for TXH1-Dry_2017, TXH1-Early_2017, and TXH1-Late_2017"
"2014","IAH1b_2014","IAH1",,"Ames","Worle",,,,"9080",41.99653,-93.696188,,,"soybean","field cultivator",,"Air planter",,,,,,,,,,,,,,,,,,"Information for IAH1a_2014, IAH1b_2014,and IAH1c_2014"
"2014","IAH1c_2014","IAH1",,"Ames","Worle",,,,"9080",41.99653,-93.696188,,,"soybean","field cultivator",,"Air planter",,,,,,,,,,,,,,,,,,"Information for IAH1a_2014, IAH1b_2014,and IAH1c_2014"
"2016","ARH1_2016","ARH1",,"Marianna",,,"Mariana",,"8658",34.728333,-90.760278,"4/22/16","9/1/16","corn","Cultivate, hip and row","none","fluted cone","combine",,34.729884,-90.759742,34.729894,-90.76094,34.729151,-90.759824,34.729151,-90.760916,,"Large pigweed in field at harvest August 30 and Sept. 1",,,,,,
"2017","ARH1_2017","ARH1","Standard","Marianna","Lon Mann Cotton RS",,,,"8658",34.728369,-90.759801,"4/14/17",,"corn","disk and hip",,"John Deere 7300","HarvestMaster","4",34.729874,-90.759769,34.729865,-90.76089,34.720138,-90.760876,34.729129,-90.759768,,"The first week of September we experienced tropical storm force winds. Harvest occurred a few days later and several of the plots had no plants standing. Since this had happened after our last stand count, we don't have data for lodged plants.",,,,,,
"2018","ARH1_2018","ARH1","Standard","Marianna","UA Experiment Station",,"ARH1",,"8658",34.728337,-90.759734,"4/25/18","11/21/18","corn","cultivate, hip and row",,"fluted cone","combine",,34.729169,-90.760887,34.729849,-90.759808,34.729849,-90.75981,34.729849,-90.760877,180,,,,,,,
"2016","ARH2_2016","ARH2","Standard","Jonesboro","Arkansas State University","PSSC1","ARH2",,"10794",35.838876,-90.664864,"5/2/16","11/11/16","soybean","cultivate, hip, row","none","fluted cone","hand held ","0.2",35.838816,-90.665006,35.838818,-90.6655901,35.838411,-90.6655901,35.838411,-90.66502,,"goose feeding has impacted the stand of most plots on the South and East sides (5/5/16)","  flash flooding caused stem lodging across the field (5/24/16) however, it did recover","  2 passes with hipper roller (4/18/16)
 ","2 passes with the field cultivator (4/15/16)","4 passes with disk (4/15/16)",,
"2017","ARH2_2017","ARH2","Standard","Keiser","UA Experiment Station","4N","ARH2","flat","10794",35.674898,-90.076596,,,"corn","till and hip",,"fluted cone","Almaco Seed Spector LRX","5",35.674718,-90.07489,35.67471,-90.075622,35.673653,-90.075661,35.673644,-90.074905,180,,,,,,,
"2018","ARH2_2018","ARH2","Standard","Keiser","UA Experiment Station",,"ARH2",,"10794",35.67486,-90.076613,"4/29/18","11/20/18","corn","cultivate, hip and row",,"fluted cone","combine",,35.673794,-90.075296,35.673803,-90.074643,35.674685,-90.074643,35.674682,-90.075308,180,"Heavy weed populations","Many plots had 50% or less seed germination",,,,,
