"Year","Env","LabID","Date Received","Date Reported","E Depth","1:1 Soil pH","WDRF Buffer pH","1:1 S Salts mmho/cm","Texture No","Organic Matter LOI %","Nitrate-N ppm N","lbs N/A","Potassium ppm K","Sulfate-S ppm S","Calcium ppm Ca","Magnesium ppm Mg","Sodium ppm Na","CEC/Sum of Cations me/100g","%H Sat","%K Sat","%Ca Sat","%Mg Sat","%Na Sat","Mehlich P-III ppm P","% Sand","% Silt","% Clay","Texture","BpH","Zinc ppm Zn","Iron ppm Fe","Manganese ppm Mn","Copper ppm Cu","Boron ppm B","Comments"
"2021","NEH3_2021","Ward Laboratories Inc","08/31/2021","09/02/2021",12,"5.8",6.8,0.26,2,3,28.9,104,147,4.7,1391,223,13,"11.2",17,3,62,17,1,42,25,53,22,"Silt Loam",,,,,,,"Results referent to NEH2_2021 and NEH3_2021"
"2020","MOH1_1_2020","Ward Laboratories Inc","9/16/20","9/18/20",12,"6.1",6.9,0.36,2,2.4,54.9,198,100,4.75,1750,208,21,"11.7",7,2,75,15,1,21,19,67,14,"Silt Loam",,,,,,,
"2016","ARH1_2016","Local Lab",,"4/8/2016",12,,,,2,,,,123,7,1676,389,,,,2.25,59.66,23.08,0.77,40,,,,"Silt Loam-Silty Clay Loam",,3.6,174,161,1.9,0.3,
"2016","ARH2_2016","Local Lab",,"4/12/2016",12,,,,2,,,,76,11,817,214,,,,2.3,47.3,20.7,0.8,26,,,,"Silt Loam",,1.9,131,248,1.5,0,
"2016","DEH1_2016","Ward Laboratories Inc","5/19/2016","5/23/2016",12,"5.7",6.4,0.37,2,2.3,34.4,124,174,19,495,110,9,"9.4",59,5,26,10,0,157,75,13,12,"Sandy Loam",,,,,,,
"2017","DEH1_2017","Ward Laboratories Inc","6/8/2017","6/12/2017",12,"6",6.6,0.22,2,1.6,19.1,69,120,15.9,321,57,16,"6.5",62,5,25,7,1,87,78,10,12,"Sandy Loam",,,,,,,
"2019","DEH1_2019","Ward Laboratories Inc","8/23/19","8/27/19",8,"6.6",7.2,0.13,1,2.4,28.6,69,125,15,487,75,8,"3.4",0,9,71,18,1,136,81,9,10,"Loamy Sand",,,,,,,
"2020","DEH1_2020","Ward Laboratories Inc","11/3/20","11/5/20",8,"6.1",6.8,0.18,2,1.5,33.3,80,117,9.6,445,54,9,"5.3",43,6,42,8,1,108,84,6,10,"Loamy Sand",,,,,,,
"2021","DEH1_2021","Ward Laboratories Inc","12/06/2021","12/08/2021",8,"6.1",6.8,0.26,2,1,44.1,106,115,13.5,364,58,9,"4.1",36,7,44,12,1,103,31,44,25,"Loam",,,,,,,
"2016","GAH1_2016","Ward Laboratories Inc","5/11/2016","5/13/2016",12,"6.6",7.2,0.32,2,1,29.1,105,164,14,557,45,7,"3.6",0,12,77,10,1,128,81,11,8,"Loamy Sand",,,,,,,
