Hybrid,Parent1,Parent2,train,test,vcf
1319YHR,1319YHR,NA,TRUE,FALSE,FALSE
1637YHR,1637YHR,NA,TRUE,FALSE,FALSE
2160YHR,2160YHR,NA,TRUE,FALSE,FALSE
2369/DK3IIH6,2369,DK3IIH6,TRUE,FALSE,TRUE
2369/LH123HT,2369,LH123HT,TRUE,FALSE,FALSE
2369/PHN82,2369,PHN82,TRUE,FALSE,TRUE
2369/PHZ51,2369,PHZ51,TRUE,FALSE,TRUE
2FACC/DK3IIH6,2FACC,DK3IIH6,TRUE,FALSE,TRUE
31G66,31G66,NA,TRUE,FALSE,FALSE
31G71,31G71,NA,TRUE,FALSE,FALSE
33M54,33M54,NA,TRUE,FALSE,FALSE
38B13,38B13,NA,TRUE,FALSE,FALSE
38N85,38N85,NA,TRUE,FALSE,FALSE
4N506/DK3IIH6,4N506,DK3IIH6,TRUE,FALSE,TRUE
5618STXRIB,5618STXRIB,NA,TRUE,FALSE,FALSE
5624VT3PRIB,5624VT3PRIB,NA,TRUE,FALSE,FALSE
6F629/DK3IIH6,6F629,DK3IIH6,TRUE,FALSE,TRUE
740/PB80,740,PB80,TRUE,FALSE,TRUE
740/PHB47,740,PHB47,TRUE,FALSE,TRUE
A3G-3-3-1-313/DK3IIH6,A3G-3-3-1-313,DK3IIH6,TRUE,FALSE,FALSE
A632/DK3IIH6,A632,DK3IIH6,TRUE,FALSE,TRUE
A634/DK3IIH6,A634,DK3IIH6,TRUE,FALSE,TRUE
A634/LH82,A634,LH82,TRUE,FALSE,TRUE
A634/PHZ51,A634,PHZ51,TRUE,FALSE,TRUE
A635/DK3IIH6,A635,DK3IIH6,TRUE,FALSE,TRUE
A635/LH82,A635,LH82,TRUE,FALSE,TRUE
A635/PHZ51,A635,PHZ51,TRUE,FALSE,TRUE
A641/LH82,A641,LH82,TRUE,FALSE,TRUE
A641/PHZ51,A641,PHZ51,TRUE,FALSE,TRUE
A672/LH82,A672,LH82,TRUE,FALSE,TRUE
A672/PHZ51,A672,PHZ51,TRUE,FALSE,TRUE
A679/DK3IIH6,A679,DK3IIH6,TRUE,FALSE,TRUE
A679/LH82,A679,LH82,TRUE,FALSE,TRUE
A679/PHZ51,A679,PHZ51,TRUE,FALSE,TRUE
A680/DK3IIH6,A680,DK3IIH6,TRUE,FALSE,TRUE
A680/LH82,A680,LH82,TRUE,FALSE,TRUE
A680/PHZ51,A680,PHZ51,TRUE,FALSE,TRUE
A7270G8,A7270G8,NA,TRUE,FALSE,FALSE
