,Env,Hybrid
0,DEH1_2022,B14A/OH43
1,DEH1_2022,B37/H95
2,DEH1_2022,B73/MO17
3,DEH1_2022,B73/PHN82
4,DEH1_2022,B73/TX779
5,DEH1_2022,B97/LH244
6,DEH1_2022,BGEM-0039-N/LH244
7,DEH1_2022,BGEM-0063-N/LH244
8,DEH1_2022,BGEM-0089-N/LH244
9,DEH1_2022,BGEM-0124-N/LH244
10,DEH1_2022,BGEM-0129-N/LH244
11,DEH1_2022,CG119/CG108
12,DEH1_2022,CG44/CGR01
13,DEH1_2022,DK3IIH6/LH244
14,DEH1_2022,DK78010/LH244
15,DEH1_2022,GEMN-0096/LH244
16,DEH1_2022,GEMN-0096_LH212HT_0001/LH244
17,DEH1_2022,GEMN-0096_LH212HT_0002/LH244
18,DEH1_2022,GEMN-0096_LH212HT_0003/LH244
19,DEH1_2022,GEMN-0096_LH212HT_0004/LH244
20,DEH1_2022,GEMN-0096_LH212HT_0005/LH244
21,DEH1_2022,GEMN-0096_LH212HT_0006/LH244
22,DEH1_2022,GEMN-0096_LH212HT_0008/LH244
23,DEH1_2022,GEMN-0096_LH212HT_0009/LH244
24,DEH1_2022,GEMN-0096_LH212HT_0012/LH244
25,DEH1_2022,GEMN-0096_LH212HT_0013/LH244
26,DEH1_2022,GEMN-0096_LH212HT_0017/LH244
27,DEH1_2022,GEMN-0096_LH212HT_0020/LH244
28,DEH1_2022,GEMN-0096_LH212HT_0021/LH244
29,DEH1_2022,GEMN-0096_LH212HT_0027/LH244
30,DEH1_2022,GEMN-0096_PHJ89_0001/LH244
31,DEH1_2022,GEMN-0096_PHJ89_0002/LH244
32,DEH1_2022,GEMN-0096_PHJ89_0006/LH244
33,DEH1_2022,GEMN-0096_PHJ89_0007/LH244
34,DEH1_2022,GEMN-0096_PHJ89_0009/LH244
35,DEH1_2022,GEMN-0096_PHJ89_0010/LH244
36,DEH1_2022,GEMN-0096_PHJ89_0011/LH244
37,DEH1_2022,GEMN-0096_PHJ89_0012/LH244
38,DEH1_2022,GEMN-0096_PHJ89_0013/LH244
39,DEH1_2022,GEMN-0096_PHJ89_0014/LH244
40,DEH1_2022,GEMN-0096_PHJ89_0016/LH244
41,DEH1_2022,GEMN-0096_PHK76_0001/LH244
42,DEH1_2022,GEMN-0096_PHK76_0002/LH244
43,DEH1_2022,GEMN-0096_PHK76_0003/LH244
44,DEH1_2022,GEMN-0096_PHK76_0004/LH244
45,DEH1_2022,GEMN-0096_PHK76_0006/LH244
46,DEH1_2022,GEMN-0096_PHK76_0007/LH244
47,DEH1_2022,GEMN-0096_PHK76_0008/LH244
48,DEH1_2022,GEMN-0096_PHK76_0010/LH244
49,DEH1_2022,GEMN-0096_PHK76_0013/LH244
50,DEH1_2022,GEMN-0096_PHK76_0015/LH244
51,DEH1_2022,GEMN-0096_PHK76_0016/LH244
52,DEH1_2022,GEMN-0096_PHN46_0001/LH244
53,DEH1_2022,GEMN-0096_PHN46_0003/LH244
54,DEH1_2022,GEMN-0096_PHN46_0004/LH244
55,DEH1_2022,GEMN-0096_PHN46_0005/LH244
56,DEH1_2022,GEMN-0096_PHN46_0007/LH244
57,DEH1_2022,GEMN-0096_PHN46_0008/LH244
58,DEH1_2022,GEMN-0096_PHN46_0012/LH244
59,DEH1_2022,GEMN-0096_PHN46_0013/LH244
60,DEH1_2022,GEMN-0096_PHN46_0014/LH244
61,DEH1_2022,GEMN-0096_PHN46_0018/LH244
62,DEH1_2022,GEMN-0096_PHN46_0020/LH244
63,DEH1_2022,GEMN-0096_PHN46_0023/LH244
64,DEH1_2022,GEMN-0096_PHP02_0001/LH244
65,DEH1_2022,GEMN-0096_PHP02_0002/LH244
66,DEH1_2022,GEMN-0096_PHP02_0003/LH244
67,DEH1_2022,GEMN-0096_PHP02_0004/LH244
68,DEH1_2022,GEMN-0096_PHP02_0005/LH244
69,DEH1_2022,GEMN-0096_PHP02_0006/LH244
70,DEH1_2022,GEMN-0096_PHP02_0007/LH244
71,DEH1_2022,GEMN-0096_PHP02_0009/LH244
72,DEH1_2022,GEMN-0096_PHP02_0011/LH244
73,DEH1_2022,GEMN-0096_PHP02_0012/LH244
74,DEH1_2022,GEMN-0096_PHP02_0015/LH244
75,DEH1_2022,GEMN-0096_PHP02_0016/LH244
76,DEH1_2022,GEMN-0096_PHP02_0025/LH244
77,DEH1_2022,GEMN-0096_PHP02_0030/LH244
78,DEH1_2022,GEMN-0097/LH244
79,DEH1_2022,GEMN-0097_LH212HT_0002/LH244
80,DEH1_2022,GEMN-0097_LH212HT_0004/LH244
81,DEH1_2022,GEMN-0097_LH212HT_0018/LH244
82,DEH1_2022,GEMN-0097_LH212HT_0019/LH244
83,DEH1_2022,GEMN-0097_LH212HT_0020/LH244
84,DEH1_2022,GEMN-0097_LH212HT_0023/LH244
85,DEH1_2022,GEMN-0097_LH212HT_0026/LH244
86,DEH1_2022,GEMN-0097_LH212HT_0032/LH244
87,DEH1_2022,GEMN-0097_LH212HT_0034/LH244
88,DEH1_2022,GEMN-0097_LH212HT_0039/LH244
89,DEH1_2022,GEMN-0097_LH212HT_0047/LH244
90,DEH1_2022,GEMN-0097_LH212HT_0051/LH244
91,DEH1_2022,GEMN-0097_LH212HT_0054/LH244
92,DEH1_2022,GEMN-0097_LH212HT_0058/LH244
93,DEH1_2022,GEMN-0097_LH212HT_0061/LH244
94,DEH1_2022,GEMN-0097_LH212HT_0062/LH244
95,DEH1_2022,GEMN-0097_LH212HT_0069/LH244
96,DEH1_2022,GEMN-0097_LH212HT_0074/LH244
97,DEH1_2022,GEMN-0097_LH212HT_0078/LH244
98,DEH1_2022,GEMN-0097_LH212HT_0085/LH244
99,DEH1_2022,GEMN-0097_LH212HT_0090/LH244
100,DEH1_2022,GEMN-0097_PHJ89_0001/LH244
101,DEH1_2022,GEMN-0097_PHJ89_0002/LH244
102,DEH1_2022,GEMN-0097_PHJ89_0003/LH244
103,DEH1_2022,GEMN-0097_PHJ89_0005/LH244
104,DEH1_2022,GEMN-0097_PHJ89_0006/LH244
105,DEH1_2022,GEMN-0097_PHJ89_0007/LH244
106,DEH1_2022,GEMN-0097_PHJ89_0008/LH244
107,DEH1_2022,GEMN-0097_PHJ89_0010/LH244
